,rule,gp_effect_size,gp_num,gp_trt_effect,gp_p,gp_1_mean,gp_1_num,gp_0_mean,gn_trt_effect,gn_p,gn_1_mean,gn_1_num,gn_0_mean,trt_effect_1,p_1,trt_effect_0,p_0,gp_power,power_1
109,"(21, 83.33333333333334, 'smaller')",-0.29327567419933,208,-0.3866539529145667,0.05448024060016971,7.086627737226277,137,7.473281690140844,-0.2268405797101467,0.5433611719363407,7.710826086956521,23,7.937666666666668,-0.6241983497302437,0.05260796015164542,-0.46438497652582367,0.41529372712138013,0.8940209016526934,0.9970226303101513
110,"(21, 91.66666666666667, 'smaller')",-0.29734121362585525,223,-0.39372051282051324,0.039299735767996016,7.114599999999999,145,7.508320512820513,-0.4231666666666678,0.456056540250256,7.7733333333333325,15,8.1965,-0.6587333333333332,0.05825837865779415,-0.6881794871794877,0.5790997419539188,0.9182380218341076,0.9985483049646313
111,"(22, 8.333333333333334, 'smaller')",-1.318369591339825,15,-1.2637,0.03733641592066288,7.4955,10,8.7592,-0.2881999999999998,0.14611170114734948,7.15508,150,7.44328,0.34041999999999994,0.4175704379177402,1.3159200000000002,0.024074129863722732,0.999619933347576,3.9753573589853574e-06
112,"(22, 16.666666666666668, 'smaller')",-0.6994475941349958,37,-0.7040069930069937,0.11071522677730536,7.314538461538461,26,8.018545454545455,-0.2973827601124803,0.1548569949826955,7.149544776119403,134,7.446927536231883,0.16499368541905834,0.5293235734312562,0.5716179183135717,0.2011275559292336,0.9883054824458003,0.0007552976428366518
113,"(22, 25.0, 'smaller')",-0.4935919910700929,59,-0.554829941860465,0.11282171439673246,7.316232558139535,43,7.8710625,-0.3141919070512822,0.1534917156210889,7.124948717948718,117,7.439140625,0.1912838401908168,0.382266256328497,0.43192187499999957,0.25317462997384155,0.9211561324295734,0.00037754625939195435
114,"(22, 33.333333333333336, 'smaller')",-0.4581814089931705,83,-0.5029508196721304,0.07261451271154454,7.195049180327869,61,7.6979999999999995,-0.29526506443747813,0.2379319426431178,7.164838383838384,99,7.460103448275862,0.030210796489485325,0.8316820075929855,0.2378965517241376,0.4346864092702468,0.9673112778703586,0.014570168265379603
115,"(22, 41.66666666666667, 'smaller')",-0.5841378427248453,105,-0.6828366606170615,0.01635415523478297,7.099473684210525,76,7.782310344827587,-0.13359313725490196,0.6192260362277142,7.245916666666667,84,7.379509803921569,-0.14644298245614173,0.5340245022181964,0.4028005409060178,0.2183111127672388,0.9992123837550202,0.18871036742266234
116,"(22, 50.0, 'smaller')",-0.3663826818461117,124,-0.44692841091492763,0.043596176147474054,7.158157303370786,89,7.605085714285714,-0.26447543035993704,0.40811875620655824,7.199169014084507,71,7.463644444444444,-0.041011710713720895,0.8839506884087206,0.1414412698412697,0.43781639876835776,0.9169109076965318,0.04854158036232315
117,"(22, 58.333333333333336, 'smaller')",-0.3470820985673633,141,-0.4406583710407235,0.044477987613524825,7.159264705882353,102,7.599923076923076,-0.2483423044575268,0.48855377648251896,7.206413793103448,58,7.454756097560975,-0.04714908722109534,0.8619251381301767,0.14516697936210132,0.42433820849008297,0.900809045052076,0.05325051375646785
118,"(22, 66.66666666666667, 'smaller')",-0.3619839149461111,165,-0.46535758513931924,0.028929837296274637,7.130622807017543,114,7.5959803921568625,-0.11192503748125926,0.887528269126095,7.289695652173913,46,7.401620689655172,-0.15907284515636988,0.6055080749792805,0.1943597025016901,0.3120896932013896,0.9512278109969187,0.21480547177659143
119,"(22, 75.0, 'smaller')",-0.25804396362021803,181,-0.3334871250707412,0.11223714439933484,7.156653225806451,124,7.490140350877192,-0.36899516908212515,0.3756824274046201,7.244222222222222,36,7.613217391304347,-0.08756899641577043,0.9056725242173825,-0.1230770404271544,0.9069126435665099,0.7661595034949419,0.09386957570702226
120,"(22, 83.33333333333334, 'smaller')",-0.3251422687553191,193,-0.42446823442501813,0.04168596280933228,7.1365801526717565,131,7.561048387096775,-0.04713218390804741,0.8610205103940707,7.35603448275862,29,7.403166666666667,-0.21945433008686344,0.596589705785123,0.1578817204301073,0.4299744023083224,0.9331971576730459,0.3654902277587354
121,"(22, 91.66666666666667, 'smaller')",-0.2620446304724068,213,-0.34400905797101444,0.08079625096225879,7.190875000000001,144,7.5348840579710155,-0.42113068181818125,0.42979527233955583,7.0456875,16,7.466818181818181,0.14518750000000136,0.583099639978784,0.06806587615283455,0.6956584553985933,0.8297558860186198,0.0012393127931447222
122,"(23, 8.333333333333334, 'larger')",-0.29427695137689647,225,-0.3865671413121854,0.055330408997885445,7.203967105263158,152,7.590534246575343,-0.1958214285714286,0.907868500949536,6.65175,8,6.847571428571428,0.5522171052631579,0.1857971278786481,0.7429628180039147,0.28340581537753184,0.9192891387770893,7.494103030634495e-10
123,"(23, 16.666666666666668, 'larger')",-0.31437685808913335,203,-0.4259498910675372,0.04832922306874836,7.154814814814815,135,7.580764705882352,0.08017999999999947,0.9741177473553713,7.292680000000001,25,7.212500000000001,-0.13786518518518598,0.656976325059442,0.3682647058823507,0.6039303791884946,0.9108337615267383,0.17170269425893758
124,"(23, 25.0, 'larger')",-0.3642151961961012,179,-0.4913324929971994,0.03344164937253437,7.163100840336134,119,7.654433333333333,0.07602926829268242,0.9877422480377267,7.214829268292683,41,7.138800000000001,-0.05172842795654908,0.7619582549401386,0.5156333333333327,0.29885641449455014,0.9507491786143656,0.056992859006839744
125,"(23, 33.333333333333336, 'larger')",-0.3398336343979393,158,-0.47574141958670246,0.06476962886336408,7.151409523809524,105,7.627150943396226,-0.1020552188552184,0.5180894296773568,7.2239818181818185,55,7.326037037037037,-0.07257229437229462,0.6953634460723794,0.30111390635918944,0.6840122014077528,0.8624378808657442,0.07673085509805276
126,"(23, 41.66666666666667, 'larger')",-0.3920881287524332,131,-0.5503770025839803,0.05525332619993868,7.129267441860464,86,7.6796444444444445,-0.09629034749034826,0.5121526125989125,7.231081081081081,74,7.327371428571429,-0.10181363922061681,0.5851690743126464,0.3522730158730152,0.4789478522383114,0.8919566221374868,0.11271694582832403
127,"(23, 50.0, 'larger')",-0.33375998869387763,111,-0.48097852112676076,0.13157888113558025,7.191746478873239,71,7.672725,-0.21424634831460665,0.2197520548137576,7.164078651685393,89,7.378324999999999,0.027667827187846328,0.9726026726582132,0.29440000000000044,0.6896471649266622,0.6844153158389035,0.015273354319838728
128,"(23, 58.333333333333336, 'larger')",-0.4700484682717732,90,-0.6779849137931029,0.04667180793505024,7.169327586206897,58,7.8473125,-0.13064705882352978,0.46095200802194336,7.18035294117647,102,7.311,-0.01102535496957291,0.7928120054985223,0.5363125000000002,0.18166496074010352,0.8711034847324493,0.030112499204741256
129,"(23, 66.66666666666667, 'larger')",-0.49040647723991226,73,-0.719444357366771,0.061295096757960264,7.134659090909091,44,7.854103448275862,-0.14651386071670025,0.4062775856682106,7.192172413793104,116,7.338686274509804,-0.05751332288401301,0.7251617565196047,0.5154171737660578,0.21644532597416777,0.8149059502258658,0.06201755971071331
130,"(23, 75.0, 'larger')",-0.44411263237347975,57,-0.6887368421052633,0.1982563974433572,7.094315789473685,38,7.783052631578948,-0.2434016393442624,0.1751561276033997,7.201909836065574,122,7.445311475409836,-0.1075940465918892,0.6825515239742286,0.3377411561691117,0.6633603551596275,0.58007019647033,0.12100598221696213
131,"(23, 83.33333333333334, 'larger')",-0.5852253650215974,34,-0.9557035573122548,0.23153695879490255,7.222478260869565,23,8.17818181818182,-0.25286512218343393,0.15268245839082284,7.168613138686132,137,7.4214782608695655,0.0538651221834332,0.838143179324675,0.756703557312254,0.2215330606805228,0.5515573658866003,0.009258618639675264
132,"(23, 91.66666666666667, 'larger')",-0.6321683235514715,16,-1.0737999999999994,0.385546631571102,7.0706999999999995,10,8.144499999999999,-0.2919378378378372,0.11526976402057161,7.1834,150,7.475337837837837,-0.11270000000000024,0.7510855375484594,0.669162162162162,0.4991279464616505,0.3187069732388085,0.12857802396145895
133,"(24, 8.333333333333334, 'larger')",-0.26711488694768254,218,-0.3525773689757603,0.07982645913085873,7.220197278911564,147,7.572774647887324,-0.4721623931623933,0.36732053532950604,6.680615384615384,13,7.152777777777778,0.5395818942961794,0.18863845270981006,0.41999687010954645,0.2696299490968288,0.8480079441956998,1.199133020449632e-09
